MA_131587g0010
MA_97315g0010
MA_10431300g0020
MA_129206g0010
MA_176279g0010
MA_10431493g0010
MA_18273g0010
MA_815900g0010
MA_65346g0010
MA_575444g0010
MA_571554g0010
MA_9169733g0010
MA_10090427g0010
MA_100910g0020
MA_65259g0010
MA_16054g0010
MA_3403026g0010
MA_348255g0010
MA_491379g0010
MA_3005g0010
MA_218996g0010
MA_282g0010
MA_17217g0020
MA_10431532g0010
MA_464043g0010
MA_12201g0010
MA_733845g0010
MA_10294942g0010
MA_10427889g0020
MA_75023g0010
MA_42861g0010
MA_10264739g0010
MA_960002g0010
MA_657g0010
MA_10744g0010
MA_80944g0010
MA_128169g0010
MA_171506g0010
MA_193431g0010
MA_10435561g0010
MA_82169g0010
MA_117727g0010
MA_5845013g0010
MA_325971g0010
MA_53827g0010
MA_10431377g0010
MA_10430050g0010
MA_9941245g0010
MA_10436657g0010
MA_910768g0010
MA_10437271g0010
MA_42655g0010
MA_388691g0010
MA_865534g0010
MA_18349g0010
MA_10426766g0010
MA_9287008g0010
MA_99789g0010
MA_10435992g0010
MA_218554g0010
MA_10428389g0010
MA_53012g0010
MA_213520g0010
MA_87479g0010
MA_106219g0010
MA_10429419g0010
MA_60075g0010
MA_113056g0010
MA_93200g0020
MA_33210g0010
MA_10430522g0010
MA_10435596g0020
MA_10432802g0010
MA_183315g0010
MA_10117352g0010
MA_17658g0010
MA_10435429g0010
MA_10427346g0010
MA_10425860g0010
MA_118719g0010
MA_10436993g0010
MA_47626g0010
MA_10239665g0010
MA_11407g0010
MA_10433825g0010
