MA_10090427g0010.1
MA_10113463g0010.1
MA_101145g0010.1
MA_10138732g0010.1
MA_10158783g0010.1
MA_101646g0020.1
MA_10179862g0010.1
MA_10187879g0010.1
MA_10215210g0010.1
MA_10241557g0010.1
MA_10248435g0010.1
MA_10268152g0010.1
MA_102821g0010.1
MA_10286324g0010.1
MA_10295886g0010.1
MA_10304327g0010.1
MA_10309429g0010.1
MA_10311376g0010.1
MA_10318979g0010.1
MA_10353792g0010.1
MA_10357335g0010.1
MA_10365093g0010.1
MA_10365113g0010.1
MA_103810g0020.1
MA_10425937g0010.1
MA_10425967g0010.1
MA_10425979g0010.1
MA_10426203g0010.1
MA_10426253g0020.1
MA_10426495g0010.1
MA_10427091g0010.1
MA_10427339g0010.1
MA_10427371g0020.1
MA_10427459g0010.1
MA_10427889g0020.1
MA_10427895g0010.1
MA_10428006g0030.1
MA_10428053g0010.1
MA_10428326g0010.1
MA_10428534g0020.1
MA_10428652g0010.1
MA_10429326g0010.1
MA_10429597g0010.1
MA_10429721g0010.1
MA_10429786g0010.1
MA_10430080g0010.1
MA_10430165g0010.1
MA_10430226g0020.1
MA_10430229g0010.1
MA_10430543g0010.1
MA_104305g0010.1
MA_10430790g0010.1
MA_10431239g0010.1
MA_10431284g0020.1
MA_10431300g0030.1
MA_10431356g0010.1
MA_10431457g0010.1
MA_10431493g0020.1
MA_10432543g0020.1
MA_10432674g0020.1
MA_10432924g0020.1
MA_10433150g0020.1
MA_10433266g0030.1
MA_10433400g0010.1
MA_10433636g0010.1
MA_10433638g0010.1
MA_10433687g0040.1
MA_10433937g0010.1
MA_10434696g0010.1
MA_10434823g0010.1
MA_10434952g0010.1
MA_10435015g0010.1
MA_10435015g0020.1
MA_10435368g0010.1
MA_10435626g0040.1
MA_10435644g0010.1
MA_10436001g0010.1
MA_10436074g0010.1
MA_10436401g0020.1
MA_10436765g0020.1
MA_10437001g0010.1
MA_10437001g0040.1
MA_10437061g0020.1
MA_10437174g0010.1
MA_106509g0010.1
MA_109054g0010.1
MA_110029g0010.1
MA_11163g0010.1
MA_111857g0010.1
MA_1136131g0010.1
MA_1179g0020.1
MA_118247g0010.1
MA_118438g0010.1
MA_12166g0010.1
MA_12201g0010.1
MA_122077g0010.1
MA_123833g0010.1
MA_125282g0010.1
MA_127542g0010.1
MA_127745g0010.1
MA_128169g0010.1
MA_129206g0010.1
MA_12955g0010.1
MA_130615g0010.1
MA_131293g0010.1
MA_131587g0010.1
MA_131661g0010.1
MA_132558g0010.1
MA_133439g0010.1
MA_137268g0010.1
MA_1395222g0010.1
MA_141286g0010.1
MA_143767g0010.1
MA_145505g0010.1
MA_1484618g0010.1
MA_15320g0020.1
MA_155697g0010.1
MA_158067g0010.1
MA_158811g0010.1
MA_16054g0010.1
MA_162261g0010.1
MA_16979g0020.1
MA_17503g0020.1
MA_175319g0020.1
MA_177904g0010.1
MA_17834g0020.1
MA_1785579g0010.1
MA_18092g0010.1
MA_18349g0020.1
MA_184378g0010.1
MA_18708g0010.1
MA_1888g0010.1
MA_18947g0010.1
MA_19453g0030.1
MA_195978g0020.1
MA_1966236g0010.1
MA_19834g0010.1
MA_20205g0010.1
MA_20260g0010.1
MA_2039207g0010.1
MA_2040107g0010.1
MA_20587g0020.1
MA_2065g0020.1
MA_210881g0010.1
MA_212183g0010.1
MA_215182g0010.1
MA_2165151g0010.1
MA_218274g0010.1
MA_22203g0020.1
MA_2261075g0010.1
MA_226283g0010.1
MA_227884g0010.1
MA_2315568g0010.1
MA_232471g0010.1
MA_24533g0010.1
